,Cutoff,Modularity score
0,0.01,0.0
1,0.03,0.0006587027816330035
2,0.05,0.0013304599294683074
3,0.07,0.0015246871074304905
4,0.09,0.0031374111786827085
5,0.11,0.004325512616079054
6,0.13,0.005221035168621126
7,0.15,0.0072341612544475865
8,0.17,0.010570807807737594
9,0.19,0.01273836183649893
10,0.21,0.017864497256190406
11,0.23,0.020788042136757272
12,0.25,0.025854387560679242
13,0.27,0.030410415028887063
14,0.29,0.03435945179695101
15,0.31,0.03835509921294194
16,0.33,0.040534390260866714
17,0.35,0.04134664381058799
18,0.37,0.049634820375635096
19,0.39,0.05235939231169563
20,0.41,0.05377930936270766
21,0.43,0.054191350567322744
22,0.45,0.05736511609720368
23,0.47,0.06268169524076168
24,0.49,0.06540428919084999
25,0.51,0.07096063680433376
26,0.53,0.07204953183058613
27,0.55,0.08399002506323357
28,0.57,0.08902823327855149
29,0.59,0.09870611764428606
30,0.61,0.1058270577797768
31,0.63,0.11100854068402607
32,0.65,0.11362775247522608
33,0.67,0.12215885672777846
34,0.69,0.12627402907490193
35,0.71,0.13238467808163387
36,0.73,0.15247792461191575
37,0.75,0.16725506296243164
38,0.77,0.17409456256062816
39,0.79,0.186981336016471
40,0.81,0.20395290928682996
41,0.83,0.21233715794608268
42,0.85,0.2240501519258423
43,0.87,0.17886183750368018
44,0.89,0.18544778135347587
45,0.91,0.19053408094805033
46,0.93,0.20216515195327509
47,0.95,0.20563731127214133
48,0.97,0.10556982629457708
49,0.99,-0.03802014200247392
