,genes,state,dev,pval
207,DUSP2_NFKBIA_LCP1,111,16.731799589431702,5.349770525159578e-10
62,SELENOK_ATP5F1E_SELENOP,110,16.552809135043905,1.6211403589845903e-12
352,PLTP_CD68_C1QC_RNASE1,1011,16.51985594739041,1.3157799003707376e-33
56,ATP5MPL_RACK1_ATP5F1E,011,16.511507697315682,6.581958168632546e-126
208,EPAS1_IGFBP4_TM4SF1,111,16.50963257434121,2.4166642374521284e-24
209,PLEK_TYROBP_SRGN,111,16.20718396618936,2.011926733484381e-73
379,BCL11B_BTG1_IL7R_CCL5,1111,16.109762441105662,9.700362796470279e-85
42,SELENOK_RACK1_ATP5F1E,110,16.091122492530943,7.596171055362841e-10
210,GPRC5B_TM4SF1_SPARC,111,16.00431327283483,3.576599938530377e-28
82,ATP5MPL_ATP5F1E_SELENOP,011,15.996944744045537,6.8412922981682805e-130
211,PLEK_SPP1_TYROBP,111,15.97658510274561,1.1582795726092091e-10
212,IL6R_LYZ_SELENOP,111,15.953355906809014,8.312351344509301e-49
380,BIRC3_TNFAIP3_LCN2_HSPH1,1111,15.843540213603845,2.3619130467025357e-31
26,SELENOK_RACK1_SELENOP,110,15.79724581495708,8.951633645739751e-10
381,GBP1_STAT1_HSPH1_VIM,1111,15.686332113884962,1.6068636773572436e-66
213,TBX3_MLXIPL_FN1,111,15.511406188977464,2.558649156054545e-34
50,SELENOF_ATP5F1E_SELENOP,110,15.425285083765642,2.846439237314888e-16
382,SLC2A3_FOS_CXCR4_SRGN,1111,15.31622811494713,6.541543284062524e-105
98,ATP5F1B_ATP5F1E_SELENOP,110,15.155851150864859,5.78540042116208e-17
214,ADIRF_CAV1_TFF3,111,15.056629635988529,2.383276898000196e-19
215,SLC2A3_VIM_SRGN,111,15.0234333442738,7.39853060380332e-55
346,EREG_CXCL8_IL1B_FCN1,0111,14.874675259333253,1.7924069959582542e-26
113,MINDY2_RACK1_ATP5F1E,011,14.820403608210519,8.744315868243212e-204
347,EREG_CXCL8_IL1B_FCN1,1011,14.764863007728943,1.0593326117981511e-08
106,MATR3_ATP5F1E_SELENOP,011,14.52242718006502,2.6109174680277875e-82
110,MATR3_RACK1_ATP5F1E,011,14.501214073536374,1.0784404745812182e-163
216,RGS2_RGS1_SRGN,111,14.247838339284463,2.080224833846907e-68
103,ATP5PB_RACK1_ATP5F1E,011,14.185115489559832,5.425959095581488e-183
78,ATP5PO_ATP5F1E_SELENOP,011,14.146571187849002,1.437941032251504e-48
217,SERPINE1_CYP3A5_FN1,111,13.949989193143466,1.3867492401634065e-15
348,EREG_CXCL8_IL1B_FCN1,1101,13.946543519440256,3.1203878577135606e-13
86,ATP5PB_ATP5F1E_SELENOP,011,13.868786899853475,1.9127891308131792e-138
383,CTSZ_APOE_CTSB_PSAP,1111,13.867270332465624,1.6969387477334498e-138
218,DUSP2_LCP1_SRGN,111,13.85556066485512,1.0326540984698114e-69
219,GPT2_TF_MLXIPL,111,13.799624132256465,1.6747765252915022e-49
220,CXCL1_IER3_TFF1,111,13.798075524649006,4.827267643722438e-10
221,DAB2_C1QB_SLC40A1,111,13.778595618279612,7.00022567684211e-07
384,RGS16_KLRB1_HSPA1B_VIM,1111,13.76153263791083,1.373409746739804e-35
222,PRDM1_CXCR4_SRGN,111,13.675207914921947,1.3731669113457498e-68
36,ATP5F1B_RACK1_SELENOP,011,13.582330201767542,5.1371103776942884e-43
90,MATR3_RACK1_SELENOP,011,13.561021276840204,1.4710429136322273e-60
223,COLEC11_SAA1_CPS1,111,13.35901773089936,2.7504572966899694e-15
94,FSCN1_COL4A1_PLVAP,011,13.354312117817415,2.227284368741048e-106
224,IGFBP5_TFF3_SPARC,111,13.335713550577191,1.807229754282958e-27
64,ATP5PB_RACK1_SELENOP,011,13.293428769879219,6.456561356558314e-85
76,ATP5PO_RACK1_SELENOP,110,13.262383416422876,3.50345181825245e-12
46,ATP5PO_RACK1_ATP5F1E,110,12.919213982507026,4.817398609525287e-12
100,ATP5F1B_RACK1_ATP5F1E,011,12.876965219286294,1.139539605158881e-121
225,FOXO1_ITM2B_RACK1,111,12.858356013738934,1.954317506464223e-37
74,ATP5PO_RACK1_SELENOP,011,12.727434566797758,7.49711894749736e-30
34,CIAO2B_RACK1_SELENOP,110,12.697008977812708,1.1546640184316673e-06
385,AREG_KLRB1_FOS_CXCR4,1111,12.683315800213485,9.434032135394077e-113
37,ATP5F1B_RACK1_SELENOP,101,12.584835598384824,3.7115369182093116e-11
226,TTYH3_CTSB_SELENOP,111,12.449380519123098,4.0810393028173344e-36
227,C1QB_C1QA_HLA-DRA,111,12.377101180893995,4.586874965392964e-25
21,SELENOF_RACK1_SELENOP,101,12.353082127513712,1.3932412436900008e-09
228,KNG1_TF_HPD,111,12.17481486725664,4.811519088191723e-08
68,ATP5ME_ATP5F1E_SELENOP,011,12.166705777790547,8.943648078486524e-49
229,HBEGF_GRN_SPARC,111,12.123578437397889,8.36189959981243e-25
97,ATP5F1B_ATP5F1E_SELENOP,101,12.119008088845916,5.66148452709192e-11
369,IL2RB_KLRB1_IL7R_CCL5,1101,12.062676860034593,1.617475756190634e-84
108,MATR3_ATP5F1E_SELENOP,110,11.824033651659843,4.667563158737904e-18
